epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,2145.01,0.47315,0.38539,0.808,0.9477,0.88987,0.94858,0.82452,0.42907,0.36584,0.78952,0.000953125,0.000953125,0.000953125
97,2167.25,0.45736,0.3728,0.81067,0.94083,0.8932,0.94955,0.815,0.43655,0.37282,0.79139,0.00095,0.00095,0.00095
98,2189.52,0.4773,0.38579,0.81119,0.9292,0.89914,0.94979,0.81241,0.45851,0.37412,0.79211,0.000946875,0.000946875,0.000946875
99,2211.82,0.46574,0.3806,0.81177,0.94142,0.89709,0.9509,0.80952,0.47171,0.37376,0.79396,0.00094375,0.00094375,0.00094375
100,2234.11,0.48855,0.38748,0.80861,0.9322,0.87483,0.95016,0.81745,0.45177,0.3806,0.79165,0.000940625,0.000940625,0.000940625
101,2256.4,0.47434,0.38155,0.8125,0.9402,0.89209,0.95157,0.82612,0.42167,0.36444,0.78871,0.0009375,0.0009375,0.0009375
102,2278.83,0.47613,0.38572,0.81033,0.93694,0.89538,0.94841,0.8155,0.4473,0.37678,0.7918,0.000934375,0.000934375,0.000934375
103,2301.13,0.47247,0.38418,0.81448,0.94065,0.8985,0.95038,0.8216,0.43146,0.36799,0.79126,0.00093125,0.00093125,0.00093125
104,2323.37,0.46636,0.37539,0.80923,0.93138,0.90172,0.95107,0.82097,0.43065,0.36481,0.78962,0.000928125,0.000928125,0.000928125
105,2345.6,0.46487,0.37675,0.80878,0.93562,0.90002,0.95104,0.8272,0.42937,0.36095,0.78888,0.000925,0.000925,0.000925
106,2367.81,0.46142,0.37355,0.81253,0.93756,0.88821,0.95147,0.82887,0.41559,0.35881,0.78834,0.000921875,0.000921875,0.000921875
107,2390.07,0.47672,0.38079,0.8119,0.94172,0.88595,0.95259,0.8201,0.42808,0.36988,0.79041,0.00091875,0.00091875,0.00091875
108,2412.36,0.46844,0.37498,0.81073,0.93032,0.88275,0.94564,0.81956,0.42401,0.37056,0.78928,0.000915625,0.000915625,0.000915625
109,2434.65,0.47075,0.37484,0.8083,0.93967,0.8957,0.94658,0.80382,0.49311,0.37706,0.79504,0.0009125,0.0009125,0.0009125
110,2456.88,0.46546,0.37213,0.80886,0.94309,0.89562,0.95124,0.83282,0.40898,0.34793,0.7877,0.000909375,0.000909375,0.000909375
111,2479.26,0.46021,0.36673,0.81044,0.92197,0.90196,0.9476,0.8315,0.40726,0.35668,0.78853,0.00090625,0.00090625,0.00090625
112,2501.49,0.46344,0.37198,0.80655,0.95634,0.88804,0.95003,0.8208,0.44333,0.36904,0.79123,0.000903125,0.000903125,0.000903125
